time,pid,tag,rss_kb,hwm_kb,swap_kb
02:35:03,42517,ptm_cycle_2,19365004,44668424,6568784
02:35:04,42517,ptm_cycle_2,19367516,44668424,6566272
02:35:05,42517,ptm_cycle_2,19367516,44668424,6566272
02:35:06,42517,ptm_cycle_2,19367520,44668424,6566268
02:35:07,42517,ptm_cycle_2,19367524,44668424,6566264
02:35:08,42517,ptm_cycle_2,19367524,44668424,6566264
02:35:09,42517,ptm_cycle_2,19367524,44668424,6566264
02:35:10,42517,ptm_cycle_2,19367528,44668424,6566260
02:35:11,42517,ptm_cycle_2,19367532,44668424,6566256
02:35:12,42517,ptm_cycle_2,19367532,44668424,6566256
02:35:13,42517,ptm_cycle_2,19367540,44668424,6566248
02:35:14,42517,ptm_cycle_2,19367540,44668424,6566248
02:35:15,42517,ptm_cycle_2,19367540,44668424,6566248
02:35:16,42517,ptm_cycle_2,19368156,44668424,6565632
02:35:17,42517,ptm_cycle_2,19368164,44668424,6565624
02:35:18,42517,ptm_cycle_2,19368168,44668424,6565620
02:35:19,42517,ptm_cycle_2,19368168,44668424,6565620
02:35:20,42517,ptm_cycle_2,19368184,44668424,6565604
02:35:21,42517,ptm_cycle_2,19368184,44668424,6565604
02:35:22,42517,ptm_cycle_2,19368208,44668424,6565604
02:35:23,42517,ptm_cycle_2,19368236,44668424,6565600
02:35:24,42517,ptm_cycle_2,19368216,44668424,6565596
02:35:25,42517,ptm_cycle_2,19368216,44668424,6565596
02:35:27,42517,ptm_cycle_2,19368216,44668424,6565596
02:35:28,42517,ptm_cycle_2,19368228,44668424,6565584
02:35:29,42517,ptm_cycle_2,19368228,44668424,6565584
02:35:30,42517,ptm_cycle_2,19368228,44668424,6565584
02:35:31,42517,ptm_cycle_2,19368232,44668424,6565580
02:35:32,42517,ptm_cycle_2,19368248,44668424,6565576
02:35:33,42517,ptm_cycle_2,19368252,44668424,6565572
02:35:34,42517,ptm_cycle_2,19368252,44668424,6565572
02:35:35,42517,ptm_cycle_2,19368268,44668424,6565556
02:35:36,42517,ptm_cycle_2,19368268,44668424,6565556
02:35:37,42517,ptm_cycle_2,19368276,44668424,6565556
02:35:38,42517,ptm_cycle_2,19368276,44668424,6565556
02:35:39,42517,ptm_cycle_2,19368284,44668424,6565548
02:35:40,42517,ptm_cycle_2,19368284,44668424,6565548
02:35:41,42517,ptm_cycle_2,19368284,44668424,6565548
02:35:42,42517,ptm_cycle_2,19368288,44668424,6565548
02:35:43,42517,ptm_cycle_2,19368288,44668424,6565548
02:35:44,42517,ptm_cycle_2,19369860,44668424,6563976
02:35:45,42517,ptm_cycle_2,19369864,44668424,6563972
02:35:46,42517,ptm_cycle_2,19369864,44668424,6563972
02:35:47,42517,ptm_cycle_2,19369864,44668424,6563972
02:35:48,42517,ptm_cycle_2,19369864,44668424,6563972
02:35:49,42517,ptm_cycle_2,19369864,44668424,6563972
02:35:50,42517,ptm_cycle_2,19369876,44668424,6563968
02:35:51,42517,ptm_cycle_2,19369880,44668424,6563964
02:35:52,42517,ptm_cycle_2,19369884,44668424,6563960
02:35:53,42517,ptm_cycle_2,19372496,44668424,6561348
02:35:54,42517,ptm_cycle_2,19372496,44668424,6561348
02:35:55,42517,ptm_cycle_2,19372504,44668424,6561348
02:35:56,42517,ptm_cycle_2,19372504,44668424,6561348
02:35:57,42517,ptm_cycle_2,19372596,44668424,6561256
02:35:58,42517,ptm_cycle_2,19372600,44668424,6561252
02:35:59,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:00,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:01,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:02,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:03,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:04,42517,ptm_cycle_2,19372608,44668424,6561248
02:36:05,42517,ptm_cycle_2,19372612,44668424,6561244
02:36:06,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:07,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:08,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:09,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:10,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:11,42517,ptm_cycle_2,19372616,44668424,6561240
02:36:12,42517,ptm_cycle_2,19372620,44668424,6561236
02:36:13,42517,ptm_cycle_2,19372620,44668424,6561236
02:36:14,42517,ptm_cycle_2,19372620,44668424,6561236
02:36:15,42517,ptm_cycle_2,19372664,44668424,6561192
02:36:16,42517,ptm_cycle_2,19372664,44668424,6561192
02:36:17,42517,ptm_cycle_2,19372664,44668424,6561192
02:36:18,42517,ptm_cycle_2,19372668,44668424,6561188
02:36:19,42517,ptm_cycle_2,19372672,44668424,6561184
02:36:20,42517,ptm_cycle_2,19373656,44668424,6560200
02:36:21,42517,ptm_cycle_2,19373656,44668424,6560200
02:36:22,42517,ptm_cycle_2,19373656,44668424,6560200
02:36:23,42517,ptm_cycle_2,19373656,44668424,6560200
02:36:24,42517,ptm_cycle_2,19373656,44668424,6560200
02:36:25,42517,ptm_cycle_2,19373660,44668424,6560196
02:36:26,42517,ptm_cycle_2,19373664,44668424,6560192
02:36:27,42517,ptm_cycle_2,19373664,44668424,6560192
02:36:28,42517,ptm_cycle_2,19373664,44668424,6560192
02:36:29,42517,ptm_cycle_2,19373676,44668424,6560180
02:36:30,42517,ptm_cycle_2,19373676,44668424,6560180
02:36:31,42517,ptm_cycle_2,19373696,44668424,6560160
02:36:32,42517,ptm_cycle_2,19373700,44668424,6560156
02:36:33,42517,ptm_cycle_2,19373708,44668424,6560148
02:36:34,42517,ptm_cycle_2,19373708,44668424,6560148
02:36:35,42517,ptm_cycle_2,19373708,44668424,6560148
02:36:36,42517,ptm_cycle_2,19373752,44668424,6560148
02:36:37,42517,ptm_cycle_2,19373780,44668424,6560120
02:36:38,42517,ptm_cycle_2,19373784,44668424,6560116
02:36:39,42517,ptm_cycle_2,19373784,44668424,6560116
02:36:40,42517,ptm_cycle_2,19373784,44668424,6560116
02:36:41,42517,ptm_cycle_2,19373784,44668424,6560116
02:36:42,42517,ptm_cycle_2,19373864,44668424,6560036
02:36:43,42517,ptm_cycle_2,19373864,44668424,6560036
02:36:44,42517,ptm_cycle_2,19373872,44668424,6560036
02:36:45,42517,ptm_cycle_2,19373876,44668424,6560036
02:36:46,42517,ptm_cycle_2,19373888,44668424,6560024
02:36:47,42517,ptm_cycle_2,19373952,44668424,6559960
02:36:48,42517,ptm_cycle_2,19373952,44668424,6559960
02:36:49,42517,ptm_cycle_2,19373952,44668424,6559960
02:36:51,42517,ptm_cycle_2,19373952,44668424,6559960
02:36:52,42517,ptm_cycle_2,19373952,44668424,6559960
02:36:53,42517,ptm_cycle_2,19373956,44668424,6559956
02:36:54,42517,ptm_cycle_2,19373968,44668424,6559952
02:36:55,42517,ptm_cycle_2,19374040,44668424,6559880
02:36:56,42517,ptm_cycle_2,19374040,44668424,6559880
02:36:57,42517,ptm_cycle_2,19374056,44668424,6559880
02:36:58,42517,ptm_cycle_2,19374056,44668424,6559880
02:36:59,42517,ptm_cycle_2,19374064,44668424,6559880
02:37:00,42517,ptm_cycle_2,19374068,44668424,6559876
02:37:01,42517,ptm_cycle_2,19374088,44668424,6559856
02:37:02,42517,ptm_cycle_2,19374088,44668424,6559856
02:37:03,42517,ptm_cycle_2,19374088,44668424,6559856
02:37:04,42517,ptm_cycle_2,19374088,44668424,6559856
02:37:05,42517,ptm_cycle_2,19374088,44668424,6559856
02:37:06,42517,ptm_cycle_2,19374104,44668424,6559848
02:37:07,42517,ptm_cycle_2,19374104,44668424,6559848
02:37:08,42517,ptm_cycle_2,19379676,44668424,6554276
02:37:09,42517,ptm_cycle_2,19379676,44668424,6554276
02:37:10,42517,ptm_cycle_2,19379676,44668424,6554276
02:37:11,42517,ptm_cycle_2,19379676,44668424,6554276
02:37:12,42517,ptm_cycle_2,19379676,44668424,6554276
02:37:13,42517,ptm_cycle_2,19379704,44668424,6554272
02:37:14,42517,ptm_cycle_2,19379692,44668424,6554268
02:37:15,42517,ptm_cycle_2,19379692,44668424,6554268
02:37:16,42517,ptm_cycle_2,19379692,44668424,6554268
02:37:17,42517,ptm_cycle_2,19379696,44668424,6554268
02:37:18,42517,ptm_cycle_2,19379696,44668424,6554268
02:37:19,42517,ptm_cycle_2,19379696,44668424,6554268
02:37:20,42517,ptm_cycle_2,19379696,44668424,6554268
02:37:21,42517,ptm_cycle_2,19379704,44668424,6554264
02:37:22,42517,ptm_cycle_2,19379728,44668424,6554264
02:37:23,42517,ptm_cycle_2,19379704,44668424,6554264
02:37:24,42517,ptm_cycle_2,19379704,44668424,6554264
02:37:25,42517,ptm_cycle_2,19379704,44668424,6554264
02:37:26,42517,ptm_cycle_2,19379716,44668424,6554260
02:37:27,42517,ptm_cycle_2,19379720,44668424,6554256
02:37:28,42517,ptm_cycle_2,19379768,44668424,6554208
02:37:29,42517,ptm_cycle_2,19379768,44668424,6554208
02:37:30,42517,ptm_cycle_2,19379772,44668424,6554208
02:37:31,42517,ptm_cycle_2,19379796,44668424,6554208
02:37:32,42517,ptm_cycle_2,19379772,44668424,6554208
02:37:33,42517,ptm_cycle_2,19379780,44668424,6554200
02:37:34,42517,ptm_cycle_2,19379780,44668424,6554200
02:37:35,42517,ptm_cycle_2,19379780,44668424,6554200
02:37:36,42517,ptm_cycle_2,19379780,44668424,6554200
02:37:37,42517,ptm_cycle_2,19379796,44668424,6554192
02:37:38,42517,ptm_cycle_2,19379796,44668424,6554192
02:37:39,42517,ptm_cycle_2,19379796,44668424,6554192
02:37:40,42517,ptm_cycle_2,19379800,44668424,6554188
02:37:41,42517,ptm_cycle_2,19379812,44668424,6554176
02:37:42,42517,ptm_cycle_2,19379812,44668424,6554176
02:37:43,42517,ptm_cycle_2,19379812,44668424,6554176
02:37:44,42517,ptm_cycle_2,19379820,44668424,6554176
02:37:45,42517,ptm_cycle_2,19379820,44668424,6554176
02:37:46,42517,ptm_cycle_2,19379820,44668424,6554176
02:37:47,42517,ptm_cycle_2,19379820,44668424,6554176
02:37:48,42517,ptm_cycle_2,19379832,44668424,6554164
02:37:49,42517,ptm_cycle_2,19379832,44668424,6554164
02:37:50,42517,ptm_cycle_2,19379832,44668424,6554164
02:37:51,42517,ptm_cycle_2,19379908,44668424,6554088
02:37:52,42517,ptm_cycle_2,19379908,44668424,6554088
02:37:53,42517,ptm_cycle_2,19379920,44668424,6554084
03:01:27,91594,ptm_cycle_3,138612,152816,0
03:01:28,91594,ptm_cycle_3,138612,152816,0
03:01:29,91594,ptm_cycle_3,138612,152816,0
03:01:30,91594,ptm_cycle_3,138612,152816,0
03:01:31,91594,ptm_cycle_3,138612,152816,0
03:01:32,91594,ptm_cycle_3,138612,152816,0
03:01:33,91594,ptm_cycle_3,138612,152816,0
03:01:34,91594,ptm_cycle_3,138612,152816,0
03:01:35,91594,ptm_cycle_3,138612,152816,0
03:01:36,91594,ptm_cycle_3,138612,152816,0
03:01:37,91594,ptm_cycle_3,138612,152816,0
03:01:38,91594,ptm_cycle_3,138612,152816,0
03:01:39,91594,ptm_cycle_3,434160,434160,0
03:01:40,91594,ptm_cycle_3,779396,779396,0
03:01:41,91594,ptm_cycle_3,1083740,1083740,0
03:01:42,91594,ptm_cycle_3,1262364,1262364,0
03:01:43,91594,ptm_cycle_3,1500892,1500892,0
03:01:44,91594,ptm_cycle_3,1714148,1714148,0
03:01:45,91594,ptm_cycle_3,1715320,1715320,0
03:01:46,91594,ptm_cycle_3,1718636,1718636,0
03:01:47,91594,ptm_cycle_3,1721824,1721824,0
03:01:48,91594,ptm_cycle_3,1742948,1742948,0
03:01:49,91594,ptm_cycle_3,1755128,1755128,0
03:01:50,91594,ptm_cycle_3,1767072,1767072,0
03:01:51,91594,ptm_cycle_3,1779748,1779748,0
03:01:52,91594,ptm_cycle_3,1791408,1791408,0
03:01:53,91594,ptm_cycle_3,1802484,1802484,0
03:01:54,91594,ptm_cycle_3,1814068,1814068,0
03:01:55,91594,ptm_cycle_3,1826252,1826252,0
03:01:56,91594,ptm_cycle_3,1838132,1838132,0
03:01:57,91594,ptm_cycle_3,1849736,1849736,0
03:01:58,91594,ptm_cycle_3,2130476,2200508,0
03:01:59,91594,ptm_cycle_3,2129468,2200508,0
03:02:00,91594,ptm_cycle_3,2141004,2200508,0
03:02:01,91594,ptm_cycle_3,2537480,2537480,0
03:02:02,91594,ptm_cycle_3,2841560,2841560,0
03:02:03,91594,ptm_cycle_3,3137436,3137436,0
03:02:04,91594,ptm_cycle_3,3407380,3407380,0
03:02:05,91594,ptm_cycle_3,3627860,3627860,0
03:02:06,91594,ptm_cycle_3,3631784,3631784,0
03:02:07,91594,ptm_cycle_3,3634164,3634164,0
03:02:08,91594,ptm_cycle_3,3635132,3635132,0
03:02:09,91594,ptm_cycle_3,3809676,3809676,0
03:02:10,91594,ptm_cycle_3,4375536,4375536,0
03:02:11,91594,ptm_cycle_3,4389908,4389908,0
03:02:12,91594,ptm_cycle_3,4389908,4389908,0
03:02:13,91594,ptm_cycle_3,4389908,4389908,0
03:02:14,91594,ptm_cycle_3,4389908,4389908,0
03:02:15,91594,ptm_cycle_3,4389908,4389908,0
03:02:16,91594,ptm_cycle_3,4389908,4389908,0
03:02:17,91594,ptm_cycle_3,4335284,4389096,0
03:02:18,91594,ptm_cycle_3,4785140,4786308,0
03:02:19,91594,ptm_cycle_3,4787072,4787072,0
03:02:20,91594,ptm_cycle_3,5806372,5821976,0
03:02:21,91594,ptm_cycle_3,6914664,6914664,0
03:02:23,91594,ptm_cycle_3,7897344,7897344,0
03:02:24,91594,ptm_cycle_3,9079696,9079696,0
03:02:25,91594,ptm_cycle_3,9156016,9156016,0
03:02:26,91594,ptm_cycle_3,9310964,9901188,0
03:02:27,91594,ptm_cycle_3,9493996,9901188,0
03:02:28,91594,ptm_cycle_3,9843156,9901188,0
03:02:29,91594,ptm_cycle_3,10859224,10859224,0
03:02:30,91594,ptm_cycle_3,10859224,10859224,0
03:02:31,91594,ptm_cycle_3,10859224,10859224,0
03:02:32,91594,ptm_cycle_3,10901732,10901732,0
03:02:33,91594,ptm_cycle_3,10924344,10924344,0
03:02:34,91594,ptm_cycle_3,10955828,10987892,0
03:02:35,91594,ptm_cycle_3,11011164,11126032,0
03:02:36,91594,ptm_cycle_3,11045932,11126032,0
03:02:37,91594,ptm_cycle_3,11077648,11126032,0
03:02:38,91594,ptm_cycle_3,11102788,11126032,0
03:02:39,91594,ptm_cycle_3,11132572,11132572,0
03:02:40,91594,ptm_cycle_3,11158956,11382296,0
03:02:41,91594,ptm_cycle_3,11194948,11382296,0
03:02:42,91594,ptm_cycle_3,11240144,11382296,0
03:02:43,91594,ptm_cycle_3,11305652,11382296,0
03:02:44,91594,ptm_cycle_3,10275424,11382296,0
03:02:45,91594,ptm_cycle_3,10294948,11382296,0
03:02:46,91594,ptm_cycle_3,11098836,11382296,0
03:02:47,91594,ptm_cycle_3,11749588,11753020,0
03:02:48,91594,ptm_cycle_3,12435396,12565564,0
03:02:49,91594,ptm_cycle_3,13225364,13225364,0
03:02:50,91594,ptm_cycle_3,13732648,13793384,0
03:02:51,91594,ptm_cycle_3,14249760,14265336,0
03:02:52,91594,ptm_cycle_3,14539148,14539148,0
03:02:53,91594,ptm_cycle_3,14579120,14579120,0
03:02:54,91594,ptm_cycle_3,14795044,14829484,0
03:02:55,91594,ptm_cycle_3,14687420,14829484,0
03:02:56,91594,ptm_cycle_3,13275556,14846260,0
03:02:57,91594,ptm_cycle_3,11713292,14846260,0
03:02:58,91594,ptm_cycle_3,11743564,14846260,0
03:02:59,91594,ptm_cycle_3,11744248,14846260,0
03:03:00,91594,ptm_cycle_3,11744248,14846260,0
03:03:01,91594,ptm_cycle_3,11744248,14846260,0
03:03:02,91594,ptm_cycle_3,11744248,14846260,0
03:03:03,91594,ptm_cycle_3,11744248,14846260,0
03:03:04,91594,ptm_cycle_3,11744248,14846260,0
03:03:05,91594,ptm_cycle_3,11844928,14846260,0
03:03:06,91594,ptm_cycle_3,11951580,14846260,0
03:03:07,91594,ptm_cycle_3,11945336,14846260,0
03:03:08,91594,ptm_cycle_3,12227840,14846260,0
03:03:09,91594,ptm_cycle_3,12378128,14846260,0
03:03:10,91594,ptm_cycle_3,12378128,14846260,0
03:03:11,91594,ptm_cycle_3,12378128,14846260,0
03:03:12,91594,ptm_cycle_3,12378128,14846260,0
03:03:13,91594,ptm_cycle_3,12378128,14846260,0
03:03:14,91594,ptm_cycle_3,12378128,14846260,0
03:03:15,91594,ptm_cycle_3,12378128,14846260,0
03:03:16,91594,ptm_cycle_3,12378128,14846260,0
03:03:17,91594,ptm_cycle_3,12466484,14846260,0
03:03:18,91594,ptm_cycle_3,12613640,14846260,0
03:03:19,91594,ptm_cycle_3,12422112,14846260,0
03:03:20,91594,ptm_cycle_3,12665272,14846260,0
03:03:21,91594,ptm_cycle_3,12665272,14846260,0
03:03:22,91594,ptm_cycle_3,12620440,14846260,0
03:03:23,91594,ptm_cycle_3,13125880,14846260,0
03:03:24,91594,ptm_cycle_3,13216564,14846260,0
03:03:25,91594,ptm_cycle_3,13020988,14846260,0
03:03:26,91594,ptm_cycle_3,13020988,14846260,0
03:03:27,91594,ptm_cycle_3,13020988,14846260,0
03:03:28,91594,ptm_cycle_3,13020988,14846260,0
03:03:29,91594,ptm_cycle_3,13020988,14846260,0
03:03:30,91594,ptm_cycle_3,13020988,14846260,0
03:03:31,91594,ptm_cycle_3,13020988,14846260,0
03:03:32,91594,ptm_cycle_3,13020988,14846260,0
03:03:33,91594,ptm_cycle_3,13020988,14846260,0
03:03:34,91594,ptm_cycle_3,13020988,14846260,0
03:03:35,91594,ptm_cycle_3,13020988,14846260,0
03:03:36,91594,ptm_cycle_3,13020988,14846260,0
03:03:37,91594,ptm_cycle_3,13020988,14846260,0
03:03:38,91594,ptm_cycle_3,13020988,14846260,0
03:03:39,91594,ptm_cycle_3,13020988,14846260,0
03:03:40,91594,ptm_cycle_3,13020988,14846260,0
03:03:41,91594,ptm_cycle_3,13020988,14846260,0
03:03:42,91594,ptm_cycle_3,13020988,14846260,0
03:03:43,91594,ptm_cycle_3,13020988,14846260,0
03:03:44,91594,ptm_cycle_3,13020988,14846260,0
03:03:45,91594,ptm_cycle_3,13020988,14846260,0
03:03:47,91594,ptm_cycle_3,13020988,14846260,0
03:03:48,91594,ptm_cycle_3,13020988,14846260,0
03:03:49,91594,ptm_cycle_3,13020988,14846260,0
03:03:50,91594,ptm_cycle_3,13020988,14846260,0
03:03:51,91594,ptm_cycle_3,13020988,14846260,0
03:03:52,91594,ptm_cycle_3,13020988,14846260,0
03:03:53,91594,ptm_cycle_3,13020988,14846260,0
03:03:54,91594,ptm_cycle_3,13020988,14846260,0
03:03:55,91594,ptm_cycle_3,13020988,14846260,0
03:03:56,91594,ptm_cycle_3,13020988,14846260,0
03:03:57,91594,ptm_cycle_3,13020988,14846260,0
03:03:58,91594,ptm_cycle_3,13020988,14846260,0
03:03:59,91594,ptm_cycle_3,13020988,14846260,0
03:04:00,91594,ptm_cycle_3,13020988,14846260,0
03:04:01,91594,ptm_cycle_3,13020988,14846260,0
03:04:02,91594,ptm_cycle_3,13020988,14846260,0
03:04:03,91594,ptm_cycle_3,13020988,14846260,0
03:04:04,91594,ptm_cycle_3,13020988,14846260,0
03:04:05,91594,ptm_cycle_3,13020988,14846260,0
03:04:06,91594,ptm_cycle_3,13020988,14846260,0
03:04:07,91594,ptm_cycle_3,13020988,14846260,0
03:04:08,91594,ptm_cycle_3,13020988,14846260,0
03:04:09,91594,ptm_cycle_3,13020988,14846260,0
03:04:10,91594,ptm_cycle_3,13020988,14846260,0
03:04:11,91594,ptm_cycle_3,13020988,14846260,0
03:04:12,91594,ptm_cycle_3,13020988,14846260,0
03:04:13,91594,ptm_cycle_3,13020988,14846260,0
03:04:14,91594,ptm_cycle_3,13020988,14846260,0
03:04:15,91594,ptm_cycle_3,13020988,14846260,0
03:04:16,91594,ptm_cycle_3,13020988,14846260,0
03:04:17,91594,ptm_cycle_3,13020988,14846260,0
03:04:18,91594,ptm_cycle_3,13020988,14846260,0
03:04:19,91594,ptm_cycle_3,13020988,14846260,0
03:04:20,91594,ptm_cycle_3,13020988,14846260,0
03:04:21,91594,ptm_cycle_3,13020988,14846260,0
03:04:22,91594,ptm_cycle_3,13020988,14846260,0
03:04:23,91594,ptm_cycle_3,13020988,14846260,0
03:04:24,91594,ptm_cycle_3,13020988,14846260,0
03:04:25,91594,ptm_cycle_3,13020988,14846260,0
03:04:26,91594,ptm_cycle_3,13020988,14846260,0
03:04:27,91594,ptm_cycle_3,13020988,14846260,0
03:04:28,91594,ptm_cycle_3,13020988,14846260,0
03:04:29,91594,ptm_cycle_3,13020988,14846260,0
03:04:30,91594,ptm_cycle_3,13020988,14846260,0
03:04:31,91594,ptm_cycle_3,13020988,14846260,0
03:04:32,91594,ptm_cycle_3,13020988,14846260,0
03:04:33,91594,ptm_cycle_3,13020988,14846260,0
03:04:34,91594,ptm_cycle_3,13020988,14846260,0
03:04:35,91594,ptm_cycle_3,13020988,14846260,0
03:04:36,91594,ptm_cycle_3,13020988,14846260,0
03:04:37,91594,ptm_cycle_3,13020988,14846260,0
03:04:38,91594,ptm_cycle_3,13020988,14846260,0
03:04:39,91594,ptm_cycle_3,13020988,14846260,0
03:04:40,91594,ptm_cycle_3,13020988,14846260,0
03:04:41,91594,ptm_cycle_3,13020988,14846260,0
03:04:42,91594,ptm_cycle_3,13020988,14846260,0
03:04:43,91594,ptm_cycle_3,13020988,14846260,0
03:04:44,91594,ptm_cycle_3,13020988,14846260,0
03:04:45,91594,ptm_cycle_3,12788716,14846260,0
03:04:46,91594,ptm_cycle_3,12750652,14846260,0
03:04:47,91594,ptm_cycle_3,12422112,14846260,0
03:04:48,91594,ptm_cycle_3,12596792,14846260,0
03:04:49,91594,ptm_cycle_3,13075712,14846260,0
03:04:50,91594,ptm_cycle_3,13112732,14846260,0
03:04:51,91594,ptm_cycle_3,13112732,14846260,0
03:04:52,91594,ptm_cycle_3,13140984,14846260,0
03:04:53,91594,ptm_cycle_3,13144120,14846260,0
03:04:54,91594,ptm_cycle_3,13144120,14846260,0
03:04:55,91594,ptm_cycle_3,13144120,14846260,0
03:04:56,91594,ptm_cycle_3,13144120,14846260,0
03:04:57,91594,ptm_cycle_3,13144120,14846260,0
03:04:58,91594,ptm_cycle_3,13144120,14846260,0
03:04:59,91594,ptm_cycle_3,13144120,14846260,0
03:05:00,91594,ptm_cycle_3,13251128,14846260,0
03:05:01,91594,ptm_cycle_3,13399344,14846260,0
03:05:02,91594,ptm_cycle_3,13134628,14846260,0
03:05:03,91594,ptm_cycle_3,13134628,14846260,0
03:05:04,91594,ptm_cycle_3,13134628,14846260,0
03:05:05,91594,ptm_cycle_3,13145916,14846260,0
03:05:06,91594,ptm_cycle_3,13145916,14846260,0
03:05:07,91594,ptm_cycle_3,13145916,14846260,0
03:05:08,91594,ptm_cycle_3,13145916,14846260,0
03:05:09,91594,ptm_cycle_3,13145916,14846260,0
03:05:10,91594,ptm_cycle_3,13145916,14846260,0
03:05:12,91594,ptm_cycle_3,13145916,14846260,0
03:05:13,91594,ptm_cycle_3,13240696,14846260,0
03:05:14,91594,ptm_cycle_3,13358504,14846260,0
03:05:15,91594,ptm_cycle_3,13329048,14846260,0
03:05:16,91594,ptm_cycle_3,13376884,14846260,0
03:05:17,91594,ptm_cycle_3,13143592,14846260,0
03:05:18,91594,ptm_cycle_3,13496888,14846260,0
03:05:19,91594,ptm_cycle_3,13893640,14846260,0
03:05:20,91594,ptm_cycle_3,14826008,14846260,0
03:05:21,91594,ptm_cycle_3,15073156,15098300,0
03:05:22,91594,ptm_cycle_3,15073156,15098300,0
03:05:23,91594,ptm_cycle_3,15115580,15115580,0
03:05:24,91594,ptm_cycle_3,15250468,15370784,0
03:05:25,91594,ptm_cycle_3,15390748,15400124,0
03:05:26,91594,ptm_cycle_3,15531572,15641384,0
03:05:27,91594,ptm_cycle_3,15376292,15699916,0
03:05:28,91594,ptm_cycle_3,14103052,15699916,0
03:05:29,91594,ptm_cycle_3,14602332,15699916,0
03:05:30,91594,ptm_cycle_3,15540136,15699916,0
03:05:31,91594,ptm_cycle_3,15922580,16147836,0
03:05:32,91594,ptm_cycle_3,15664200,16147836,0
03:05:33,91594,ptm_cycle_3,16445544,16445544,0
03:05:34,91594,ptm_cycle_3,17141052,17141052,0
03:05:35,91594,ptm_cycle_3,17472956,17472956,0
03:05:36,91594,ptm_cycle_3,18032944,18049332,0
03:05:37,91594,ptm_cycle_3,18424184,18432928,0
03:05:38,91594,ptm_cycle_3,18609492,18609492,0
03:05:39,91594,ptm_cycle_3,18694956,18694956,0
03:05:40,91594,ptm_cycle_3,18995948,18995948,0
03:05:41,91594,ptm_cycle_3,18701036,18995392,0
03:05:42,91594,ptm_cycle_3,17024392,18995392,0
03:05:43,91594,ptm_cycle_3,15809060,18995392,0
03:05:44,91594,ptm_cycle_3,15809060,18995392,0
03:05:45,91594,ptm_cycle_3,15809060,18995392,0
03:05:46,91594,ptm_cycle_3,15809088,18995392,0
03:05:47,91594,ptm_cycle_3,15809088,18995392,0
03:05:48,91594,ptm_cycle_3,15809088,18995392,0
03:05:49,91594,ptm_cycle_3,15809088,18995392,0
03:05:50,91594,ptm_cycle_3,15809088,18995392,0
03:05:51,91594,ptm_cycle_3,15809088,18995392,0
03:05:52,91594,ptm_cycle_3,15809088,18995392,0
03:05:53,91594,ptm_cycle_3,15809088,18995392,0
03:05:54,91594,ptm_cycle_3,15809124,18995392,0
03:05:55,91594,ptm_cycle_3,15809172,18995392,0
03:05:56,91594,ptm_cycle_3,15809172,18995392,0
03:05:57,91594,ptm_cycle_3,15809172,18995392,0
03:05:58,91594,ptm_cycle_3,15810036,18995392,0
03:05:59,91594,ptm_cycle_3,15986744,18995392,0
03:06:00,91594,ptm_cycle_3,15827312,18995392,0
03:06:01,91594,ptm_cycle_3,15827320,18995392,0
03:06:02,91594,ptm_cycle_3,15827320,18995392,0
03:06:03,91594,ptm_cycle_3,15827320,18995392,0
03:06:04,91594,ptm_cycle_3,15827320,18995392,0
03:06:05,91594,ptm_cycle_3,15827320,18995392,0
03:06:06,91594,ptm_cycle_3,15827320,18995392,0
03:06:07,91594,ptm_cycle_3,15827320,18995392,0
03:06:08,91594,ptm_cycle_3,15827320,18995392,0
03:06:09,91594,ptm_cycle_3,15827320,18995392,0
03:06:10,91594,ptm_cycle_3,15827320,18995392,0
03:06:11,91594,ptm_cycle_3,15827320,18995392,0
03:06:12,91594,ptm_cycle_3,15827320,18995392,0
03:06:13,91594,ptm_cycle_3,15827320,18995392,0
03:06:14,91594,ptm_cycle_3,15827320,18995392,0
03:06:15,91594,ptm_cycle_3,15827320,18995392,0
03:06:16,91594,ptm_cycle_3,15827320,18995392,0
03:06:17,91594,ptm_cycle_3,15827320,18995392,0
03:06:18,91594,ptm_cycle_3,15827320,18995392,0
03:06:19,91594,ptm_cycle_3,15827320,18995392,0
03:06:20,91594,ptm_cycle_3,15827320,18995392,0
03:06:21,91594,ptm_cycle_3,15827320,18995392,0
03:06:22,91594,ptm_cycle_3,15827320,18995392,0
03:06:23,91594,ptm_cycle_3,15827320,18995392,0
03:06:24,91594,ptm_cycle_3,15827320,18995392,0
03:06:25,91594,ptm_cycle_3,15827320,18995392,0
03:06:26,91594,ptm_cycle_3,15827320,18995392,0
03:06:27,91594,ptm_cycle_3,15827320,18995392,0
03:06:28,91594,ptm_cycle_3,15827320,18995392,0
03:06:29,91594,ptm_cycle_3,15827320,18995392,0
03:06:30,91594,ptm_cycle_3,15827320,18995392,0
03:06:31,91594,ptm_cycle_3,15827320,18995392,0
